id,url,header,address,area,rooms,bathrooms,garages,amenities,price,condo,crawled_at
1.0,https://www.vivareal.com.br/imovel/9-quartos-hugo-lange-bairros-curitiba-com-garagem-142m2-aluguel-RS2950-id-2488018884/,"Casa com 9 Quartos para Aluguel, 142m²","Rua Presidente Rodrigo Otávio, 1070 - Hugo Lange, Curitiba - PR",142,9 Quartos,3 Banheiros,2 Vagas,Mobiliado|Ar-condicionado|Aceita animais,R$ 2.950 /mês,,2021-06-17 11:51
1.1,https://www.vivareal.com.br/imovel/apartamento-1-quartos-centro-bairros-curitiba-33m2-aluguel-RS2500-id-2520533693/,"Apartamento com Quarto para Aluguel, 33m²","Avenida Visconde de Guarapuava, 3806 - Centro, Curitiba - PR",33,1 Quarto,1 Banheiro,-- Vaga,Mobiliado|Piscina|Churrasqueira|Academia|Elevador,R$ 2.500 /mês,R$ 320,2021-06-17 11:51
1.2,https://www.vivareal.com.br/imovel/sala-comercial-centro-bairros-curitiba-40m2-aluguel-RS800-id-2519569698/,"Sala/Conjunto para Aluguel, 40m²","Rua Voluntários da Pátria, 400 - Centro, Curitiba - PR",40,-- Quarto,6 Banheiros,-- Vaga,,R$ 800 /mês,,2021-06-17 11:51
1.3,https://www.vivareal.com.br/imovel/sala-comercial-centro-bairros-curitiba-com-garagem-218m2-aluguel-RS10500-id-2512561575/,"Sala/Conjunto para Aluguel, 218m²","Alameda Doutor Carlos de Carvalho, 555 - Centro, Curitiba - PR",218,-- Quarto,4 Banheiros,3 Vagas,,R$ 10.500 /mês,,2021-06-17 11:51
1.4,https://www.vivareal.com.br/imovel/ponto-comercial-1-quartos-pinheirinho-bairros-curitiba-220m2-aluguel-RS2700-id-2523128975/,"Ponto comercial/Loja/Box com Quarto para Aluguel, 220m²","Rua Rubem Berta, 400 - Pinheirinho, Curitiba - PR",220,1 Quarto,2 Banheiros,-- Vaga,,R$ 2.700 /mês,,2021-06-17 11:51
1.5,https://www.vivareal.com.br/imovel/galpao-deposito-armazem-boqueirao-bairros-curitiba-845m2-aluguel-RS8500-id-2509523580/,"Galpão/Depósito/Armazém para Aluguel, 845m²","Rua Ireno Marchesini, 251 - Boqueirão, Curitiba - PR",845,-- Quarto,2 Banheiros,-- Vaga,Estacionamento|Entrada para caminhões|Refeitório|Vestiário,R$ 8.500 /mês,,2021-06-17 11:51
1.6,https://www.vivareal.com.br/imovel/ponto-comercial-bigorrilho-bairros-curitiba-65m2-aluguel-RS5500-id-2520429390/,"Ponto comercial/Loja/Box para Aluguel, 65m²","Rua Padre Anchieta, 2050 - Bigorrilho, Curitiba - PR",65,-- Quarto,1 Banheiro,-- Vaga,Piscina|Academia|Elevador|Ar-condicionado|Jardim,R$ 5.500 /mês,,2021-06-17 11:51
1.7,https://www.vivareal.com.br/imovel/apartamento-3-quartos-cabral-bairros-curitiba-com-garagem-161m2-aluguel-RS3500-id-2510171400/,"Apartamento com 3 Quartos para Aluguel, 161m²","Rua Vereador Garcia Rodrigues Velho, 234 - Cabral, Curitiba - PR",161,3 Quartos,4 Banheiros,2 Vagas,Churrasqueira|Elevador|Condomínio fechado|Ar-condicionado|Varanda gourmet,R$ 3.500 /mês,R$ 1.050,2021-06-17 11:51
1.8,https://www.vivareal.com.br/imovel/galpao-deposito-armazem-boqueirao-bairros-curitiba-com-garagem-800m2-aluguel-RS5500-id-2518713385/,"Galpão/Depósito/Armazém para Aluguel, 800m²","Rua Canal Belém, 6420 - Boqueirão, Curitiba - PR",800,-- Quarto,3 Banheiros,40 Vagas,Ar-condicionado|Cozinha|Estacionamento|Acesso para deficientes|Entrada para caminhões,R$ 5.500 /mês,,2021-06-17 11:51
1.9,https://www.vivareal.com.br/imovel/apartamento-3-quartos-seminario-bairros-curitiba-com-garagem-65m2-aluguel-RS2100-id-2522357582/,"Apartamento com 3 Quartos para Aluguel, 65m²","Avenida Silva Jardim, 3733 - Seminário, Curitiba - PR",65,3 Quartos,2 Banheiros,1 Vaga,Mobiliado|Aceita animais|Portão eletrônico,R$ 2.100 /mês,R$ 390,2021-06-17 11:51
