iter	RMSE
0	9643.389796
1	9405.227912
2	9142.504072
3	8927.627136
4	8723.693112
5	8534.876714
6	8357.866028
7	8202.387136
8	8065.054912
9	7939.101693
10	7838.841999
11	7731.498842
12	7640.866017
13	7549.967954
14	7463.292003
15	7382.311384
16	7288.265716
17	7210.663051
18	7151.794483
19	7097.238726
20	7035.983051
21	6978.87992
22	6922.13266
23	6867.842026
24	6824.509473
25	6779.698351
26	6740.592576
27	6697.091617
28	6650.652427
29	6618.004977
30	6576.47355
31	6532.291727
32	6497.956733
33	6470.462842
34	6443.524134
35	6414.171231
36	6390.389681
37	6368.957493
38	6348.49754
39	6328.113959
40	6299.80181
41	6274.968082
42	6246.15661
43	6227.547576
44	6196.813459
45	6173.862678
46	6145.586109
47	6129.188031
48	6091.434067
49	6076.35625
50	6067.224588
51	6049.611048
52	6035.230519
53	6026.874756
54	6018.990037
55	6002.559973
56	5972.78647
57	5957.497645
58	5945.571733
59	5915.551361
60	5908.03881
61	5897.039607
62	5889.315684
63	5881.829181
64	5859.243727
65	5841.921618
66	5833.157796
67	5809.127699
68	5794.28115
69	5774.548139
70	5766.150582
71	5750.241126
72	5738.929013
73	5733.951049
74	5723.620319
75	5714.346122
76	5711.108916
77	5709.322567
78	5702.96843
79	5690.634769
80	5685.743958
81	5684.859461
82	5680.686897
83	5662.53952
84	5658.683147
85	5656.62702
86	5627.813617
87	5624.780534
88	5621.273343
89	5620.618467
90	5611.760455
91	5609.940857
92	5598.235634
93	5594.346224
94	5590.803018
95	5582.152688
96	5578.096393
97	5571.224605
98	5553.521046
99	5545.400842
100	5534.295452
101	5527.920417
102	5519.406511
103	5512.448916
104	5511.120586
105	5507.597393
106	5502.335569
107	5485.517692
108	5485.054357
109	5480.70749
110	5470.017359
111	5469.26674
112	5465.570431
113	5447.795314
114	5416.745877
115	5407.881227
116	5404.413244
117	5393.795429
118	5391.162581
119	5388.119661
120	5379.728496
121	5374.34374
122	5359.453291
123	5358.715892
124	5357.218989
125	5343.489118
126	5341.003021
127	5336.697572
128	5334.559673
129	5333.804174
130	5332.49155
131	5326.305265
132	5322.345987
133	5318.346506
134	5311.624201
135	5293.662641
136	5289.570425
137	5283.478779
138	5278.370845
139	5277.180612
140	5273.077115
141	5267.398914
142	5265.887498
143	5261.295354
144	5257.77744
145	5252.783515
146	5249.660514
147	5245.895864
148	5243.561277
149	5242.247089
150	5239.750208
151	5237.938874
152	5231.106054
153	5226.939268
154	5226.286508
155	5219.049604
156	5214.394374
157	5204.97175
158	5203.617042
159	5203.245757
160	5200.663119
161	5200.370265
162	5199.841388
163	5196.752686
164	5196.441431
165	5186.163382
166	5184.681713
167	5184.403855
168	5182.511318
169	5182.429183
170	5182.352213
171	5181.705169
172	5180.574406
173	5179.703418
174	5178.262553
175	5177.592645
176	5177.358495
177	5176.803705
178	5173.528889
179	5170.315303
180	5167.944774
181	5167.455245
182	5165.263945
183	5164.996522
184	5164.411121
185	5162.202739
186	5159.255904
187	5157.73493
188	5156.348702
189	5152.543988
190	5150.529312
191	5149.308706
192	5149.024386
193	5146.162248
194	5145.958953
195	5145.714785
196	5144.523936
197	5143.434105
198	5141.269301
199	5141.034621
200	5140.807859
201	5140.413471
202	5139.317886
203	5138.364293
204	5137.39173
205	5136.90095
206	5136.587115
207	5134.007972
208	5133.150926
209	5126.580219
210	5126.395483
211	5125.637877
212	5123.181453
213	5118.550159
214	5118.194463
215	5118.000884
216	5115.673955
217	5114.976345
218	5112.229297
219	5110.017597
220	5109.577075
221	5106.029482
222	5105.689856
223	5103.194041
224	5102.732818
225	5097.35665
226	5097.152045
227	5095.305921
228	5093.201479
229	5092.152645
230	5091.507275
231	5091.332953
232	5089.322028
233	5088.927098
234	5083.617979
235	5083.245027
236	5077.157939
237	5076.852737
238	5076.664772
239	5072.625054
240	5068.374913
241	5065.033888
242	5064.738922
243	5055.631773
244	5051.291279
245	5051.033782
246	5049.04635
247	5046.811332
248	5044.919706
249	5044.670092
250	5042.865909
251	5040.896389
252	5039.500607
253	5037.780221
254	5037.686036
255	5034.535723
256	5034.451111
257	5032.806693
258	5031.648326
259	5028.649637
260	5026.654738
261	5026.005196
262	5025.825411
263	5023.920156
264	5019.266382
265	5016.697165
266	5016.524862
267	5015.49945
268	5014.591043
269	5011.618497
270	5009.196499
271	5008.699792
272	5008.234238
273	5006.352751
274	5005.698894
275	5004.012771
276	5002.439008
277	5000.953184
278	4995.351009
279	4993.960716
280	4992.648441
281	4992.480934
282	4991.24928
283	4987.070594
284	4986.436198
285	4985.293617
286	4984.205391
287	4982.842856
288	4982.243003
289	4976.201614
290	4973.792421
291	4972.782377
292	4971.897901
293	4967.691369
294	4966.899282
295	4964.181902
296	4961.869583
297	4960.929646
298	4960.046172
299	4959.36799
300	4958.657993
301	4958.563662
302	4954.196867
303	4952.308404
304	4951.456907
305	4950.656064
306	4949.069125
307	4948.434379
308	4947.823079
309	4947.306649
310	4941.807109
311	4936.313807
312	4934.495204
313	4930.531586
314	4926.262416
315	4926.111558
316	4925.956656
317	4925.816028
318	4923.617935
319	4923.482033
320	4923.402792
321	4923.286449
322	4922.705481
323	4922.629442
324	4922.220448
325	4920.013596
326	4915.014786
327	4914.662805
328	4913.215041
329	4910.700318
330	4910.253909
331	4909.645072
332	4909.328933
333	4909.04666
334	4907.791555
335	4902.949452
336	4898.160113
337	4895.754292
338	4894.63331
339	4894.253422
340	4893.90602
341	4893.587703
342	4892.82925
343	4892.374425
344	4887.852405
345	4884.319445
346	4882.836991
347	4882.123781
348	4881.126503
349	4877.898215
350	4875.761578
351	4873.741046
352	4872.857463
353	4872.414089
354	4871.289804
355	4869.418855
356	4869.234367
357	4860.963265
358	4856.388419
359	4848.997747
360	4848.829057
361	4847.062999
362	4846.911983
363	4846.539072
364	4846.366459
365	4846.211768
366	4845.801273
367	4844.171416
368	4844.074269
369	4843.696591
370	4840.077005
371	4838.169783
372	4837.746146
373	4836.568719
374	4833.610865
375	4826.559427
376	4824.572641
377	4818.822984
378	4816.493981
379	4814.116146
380	4812.49678
381	4808.328099
382	4798.050163
383	4793.140975
384	4783.425718
385	4778.004022
386	4777.673351
387	4773.271229
388	4768.625174
389	4759.556053
390	4758.116517
391	4757.243619
392	4753.288395
393	4752.964997
394	4747.147455
395	4746.845046
396	4740.919071
397	4738.621795
398	4734.387654
399	4729.888226
400	4725.651832
401	4720.485912
402	4713.609789
403	4713.256772
404	4708.043966
405	4705.277792
406	4703.878519
407	4700.408413
408	4700.144649
409	4695.801115
410	4693.280543
411	4689.369051
412	4686.162191
413	4682.368482
414	4678.876019
415	4674.385576
416	4672.985375
417	4669.750822
418	4669.430474
419	4669.041097
420	4666.15702
421	4665.855804
422	4665.509442
423	4665.189613
424	4660.51967
425	4652.734149
426	4645.347466
427	4642.824342
428	4642.556315
429	4638.995791
430	4638.746201
431	4631.779279
432	4630.060564
433	4629.830571
434	4628.230009
435	4621.610211
436	4619.996054
437	4618.511301
438	4612.223098
439	4606.254083
440	4602.270506
441	4601.859775
442	4601.64984
443	4601.332859
444	4601.243352
445	4600.667907
446	4599.371776
447	4599.18502
448	4596.885767
449	4596.70986
450	4595.838159
451	4594.645002
452	4588.934361
453	4583.458167
454	4583.306242
455	4578.057543
456	4575.799797
457	4570.756503
458	4570.62362
459	4566.505715
460	4561.005088
461	4556.330289
462	4551.232866
463	4550.682554
464	4550.473626
465	4546.135234
466	4545.908594
467	4541.175337
468	4540.453385
469	4536.431811
470	4536.238753
471	4533.204162
472	4532.275428
473	4530.891183
474	4530.207032
475	4529.366682
476	4528.082279
477	4527.392569
478	4526.709963
