iter	Passed	Remaining
0	186	186094
1	206	103198
2	224	74634
3	279	69611
4	354	70584
5	386	64101
6	415	58885
7	429	53307
8	443	48871
9	457	45260
10	470	42321
11	483	39847
12	497	37754
13	512	36065
14	526	34599
15	583	35895
16	624	36093
17	660	36043
18	690	35641
19	704	34538
20	719	33530
21	734	32638
22	749	31855
23	764	31084
24	778	30356
25	792	29678
26	805	29023
27	820	28484
28	841	28187
29	889	28753
30	915	28601
31	948	28684
32	963	28220
33	976	27744
34	989	27287
35	1003	26877
36	1018	26503
37	1032	26139
38	1046	25793
39	1060	25457
40	1073	25115
41	1086	24789
42	1099	24480
43	1118	24304
44	1139	24184
45	1162	24116
46	1188	24101
47	1276	25326
48	1307	25381
49	1321	25105
50	1333	24813
51	1346	24552
52	1361	24324
53	1379	24169
54	1396	23990
55	1414	23848
56	1437	23775
57	1455	23643
58	1519	24234
59	1532	24012
60	1545	23794
61	1559	23587
62	1572	23382
63	1585	23187
64	1598	23000
65	1612	22813
66	1625	22633
67	1638	22455
68	1651	22288
69	1680	22329
70	1702	22272
71	1726	22255
72	1762	22375
73	1788	22384
74	1830	22581
75	1847	22458
76	1864	22348
77	1896	22415
78	1909	22259
79	1923	22119
80	1937	21987
81	1953	21864
82	1974	21811
83	2003	21842
84	2026	21817
85	2080	22109
86	2110	22147
87	2139	22176
88	2152	22036
89	2166	21903
90	2179	21769
91	2192	21636
92	2205	21510
93	2218	21380
94	2231	21257
95	2247	21167
96	2263	21075
97	2306	21229
98	2329	21205
99	2393	21541
100	2419	21532
101	2450	21570
102	2474	21553
103	2493	21481
104	2513	21426
105	2538	21407
106	2556	21337
107	2586	21366
108	2634	21538
109	2664	21554
110	2683	21494
111	2730	21648
112	2750	21591
113	2777	21590
114	2792	21493
115	2843	21667
116	2906	21933
117	2965	22165
118	2984	22094
119	3062	22456
120	3089	22445
121	3136	22571
122	3161	22541
123	3219	22743
124	3251	22758
125	3266	22656
126	3280	22552
127	3295	22452
128	3309	22346
129	3321	22226
130	3335	22123
131	3348	22020
132	3361	21914
133	3375	21812
134	3387	21706
135	3400	21604
136	3417	21529
137	3437	21471
138	3470	21497
139	3520	21623
140	3572	21761
141	3603	21773
142	3631	21763
143	3644	21667
144	3657	21568
145	3671	21474
146	3695	21444
147	3709	21354
148	3723	21266
149	3740	21194
150	3781	21260
151	3803	21217
152	3835	21230
153	3865	21233
154	3884	21177
155	3898	21093
156	3919	21044
157	3932	20956
158	3946	20873
159	3960	20790
160	3973	20706
161	3987	20628
162	4001	20546
163	4015	20468
164	4032	20406
165	4052	20362
166	4095	20430
167	4150	20553
168	4183	20568
169	4196	20488
170	4209	20408
171	4223	20333
172	4237	20256
173	4251	20182
174	4264	20105
175	4280	20042
176	4313	20056
177	4369	20179
178	4424	20292
179	4449	20270
180	4464	20200
181	4478	20129
182	4492	20054
183	4504	19976
184	4517	19900
185	4530	19827
186	4544	19757
187	4559	19691
188	4578	19647
189	4591	19575
190	4605	19506
191	4619	19441
192	4649	19441
193	4675	19423
194	4710	19447
195	4731	19409
196	4745	19342
197	4758	19274
198	4771	19204
199	4784	19137
200	4797	19071
201	4811	19009
202	4824	18942
203	4837	18875
204	4851	18812
205	4863	18745
206	4875	18677
207	4887	18610
208	4899	18543
209	4912	18478
210	4922	18408
211	4934	18342
212	4948	18283
213	4960	18220
214	4973	18160
215	4986	18098
216	4998	18034
217	5011	17976
218	5024	17917
219	5036	17855
220	5048	17796
221	5061	17736
222	5072	17674
223	5084	17615
224	5102	17576
225	5128	17564
226	5147	17528
227	5190	17573
228	5247	17668
229	5265	17629
230	5278	17572
231	5292	17518
232	5303	17459
233	5317	17405
234	5329	17349
235	5340	17289
236	5352	17233
237	5365	17178
238	5378	17125
239	5390	17070
240	5403	17017
241	5414	16959
242	5425	16901
243	5438	16849
244	5450	16796
245	5461	16740
246	5474	16690
247	5488	16642
248	5501	16592
249	5513	16539
250	5525	16489
251	5539	16441
252	5551	16392
253	5567	16351
254	5582	16308
255	5598	16269
256	5615	16233
257	5631	16195
258	5647	16157
259	5660	16111
260	5673	16064
261	5686	16017
262	5699	15971
263	5712	15925
264	5735	15908
265	5749	15865
266	5762	15821
267	5776	15776
268	5787	15728
269	5801	15684
270	5813	15639
271	5826	15594
272	5838	15547
273	5850	15502
274	5863	15459
275	5877	15417
276	5901	15402
277	5913	15358
278	5928	15319
279	5944	15286
280	5986	15318
281	6040	15380
282	6064	15363
283	6082	15335
284	6106	15318
285	6120	15279
286	6134	15238
287	6147	15197
288	6160	15155
289	6173	15113
290	6185	15070
291	6198	15028
292	6211	14988
293	6225	14950
294	6246	14928
295	6269	14912
296	6309	14934
297	6330	14913
298	6357	14905
299	6378	14882
300	6396	14853
