iter	RMSE
0	9932.267572
1	9655.36895
2	9388.015145
3	9165.646493
4	8968.806841
5	8791.025321
6	8620.721181
7	8448.585743
8	8298.66822
9	8160.010802
10	8027.814777
11	7909.797003
12	7798.802156
13	7696.350674
14	7611.068294
15	7503.556841
16	7418.993208
17	7337.661113
18	7252.275111
19	7175.904787
20	7120.977585
21	7059.661819
22	7001.553773
23	6957.353856
24	6897.722369
25	6844.943815
26	6793.086294
27	6749.058531
28	6716.412162
29	6677.124712
30	6644.069408
31	6601.533693
32	6560.472905
33	6523.275377
34	6485.517612
35	6460.257294
36	6428.472324
37	6403.264937
38	6382.747841
39	6357.641517
40	6332.921298
41	6312.785559
42	6287.615983
43	6269.60253
44	6252.843598
45	6233.82432
46	6198.086522
47	6174.207876
48	6166.099107
49	6153.585975
50	6140.49608
51	6130.358918
52	6114.200724
53	6106.012668
54	6093.222702
55	6084.553337
56	6063.465008
57	6041.496391
58	6031.4361
59	6022.236449
60	6005.001437
61	5986.64221
62	5974.402188
63	5966.066376
64	5957.326074
65	5936.34511
66	5918.759601
67	5911.782657
68	5896.762072
69	5888.491695
70	5875.525402
71	5866.150378
72	5846.458421
73	5834.750269
74	5830.590895
75	5824.81202
76	5819.283277
77	5804.792843
78	5785.256654
79	5780.880891
80	5777.034044
81	5773.896581
82	5769.207476
83	5759.983299
84	5753.223111
85	5748.528005
86	5743.564699
87	5738.916207
88	5737.891114
89	5718.936577
90	5714.961447
91	5710.834078
92	5697.960484
93	5692.064072
94	5687.250981
95	5678.420425
96	5670.658338
97	5664.542458
98	5652.918232
99	5646.996603
100	5631.868633
101	5626.14951
102	5623.964293
103	5607.674119
104	5602.704381
105	5598.713213
106	5593.530012
107	5591.529734
108	5581.328583
109	5577.202214
110	5573.246738
111	5568.850536
112	5565.956599
113	5546.688917
114	5544.053127
115	5535.574999
116	5525.87318
117	5519.968113
118	5506.105459
119	5486.427614
120	5479.658405
121	5472.701851
122	5469.893154
123	5465.949594
124	5460.031378
125	5452.983033
126	5449.450854
127	5443.44079
128	5441.181221
129	5436.701908
130	5434.969491
131	5432.68585
132	5426.714322
133	5421.745955
134	5417.613494
135	5412.982127
136	5409.365143
137	5406.028545
138	5403.841283
139	5402.879569
140	5399.211525
141	5396.262352
142	5393.889568
143	5389.161729
144	5385.966042
145	5378.029153
146	5374.233957
147	5370.946521
148	5366.624067
149	5364.341385
150	5359.649834
151	5356.722095
152	5352.077797
153	5348.798476
154	5347.506249
155	5345.180478
156	5345.056388
157	5342.789904
158	5339.15693
159	5335.111168
160	5334.799231
161	5332.623664
162	5332.447625
163	5328.446575
164	5324.663629
165	5322.397164
166	5320.117826
167	5313.814215
168	5311.527176
169	5306.786867
170	5302.026279
171	5298.586549
172	5297.480724
173	5293.201195
174	5289.884795
175	5285.791161
176	5282.660814
177	5281.023931
178	5280.358669
179	5279.30632
180	5278.050068
181	5274.343633
182	5273.753887
183	5271.889445
184	5268.257479
185	5266.66157
186	5262.944331
187	5259.249262
188	5258.351546
189	5256.821681
190	5243.66534
191	5241.834199
192	5239.038778
193	5237.336729
194	5236.605214
195	5235.161241
196	5234.351666
197	5233.536492
198	5232.049559
199	5228.858079
200	5228.045534
201	5225.473636
202	5224.716881
