check_name,neighbourhood,equivalent
0,Abranches,
0,Água Verde,
0,Ahú,
0,Alto Boqueirão,
0,Alto da Glória,
1,Alto da XV,Alto da XV
1,alto da rua xv,Alto da XV
0,Atuba,
0,Augusta,
0,Bacacheri,
0,Bairro Alto,
0,Barreirinha,
0,Batel,
0,Boa Vista,
0,Bom Retiro,
0,Boqueirão,
0,Butiatuvinha,
1,Bigorrilho,Bigorrilho
1,Barigui,Bigorrilho
0,caiua,
0,Cabral,
0,Cachoeira,
0,Cajuru,
0,Campina do Siqueira,
0,Campo Comprido,
0,Campo de Santana,
0,Capão da Imbuia,
0,Capão Raso,
0,Cascatinha,
0,Centro,
0,Centro Histórico,
0,Caximba,
0,Centro Cívico,
0,Champagnat,
0,Cidade Industrial,
0,Cristo Rei,
0,Fanny,
0,Fazendinha,
0,Ganchinho,
0,Guabirotuba,
0,Guaíra,
0,Hauer,
0,Hugo Lange,
0,Jardim Botânico,
0,Jardim Social,
0,Jardim das Américas,
0,Juvevê,
0,Lamenha Pequena,
0,Lindóia,
0,Mercês,
1,Mossunguê (Ecoville),Mossunguê (Ecoville)
1,ecoville,Mossunguê (Ecoville)
1,Mossunguê,Mossunguê (Ecoville)
1,neoville,Mossunguê (Ecoville)
0,Novo Mundo,
0,Orleans,
0,Parolin,
0,Pilarzinho,
0,Pinheirinho,
0,Portão,
0,Prado Velho,
0,Rebouças,
0,Riviera,
0,Santa Cândida,
0,Santa Felicidade,
0,Santa Quitéria,
0,Santo Inácio,
0,São Braz,
0,São Francisco,
0,São João,
0,São Lourenço,
0,São Miguel,
0,Seminário,
0,Sítio Cercado,
0,Taboão,
0,Tarumã,
0,Tatuquara,
0,Tingui,
0,Uberaba,
0,Umbará,
0,Vila Izabel,
0,Vista Alegre,
0,Xaxim,
0,vila oficinas,
0,jardim schaffer,
