id,url,header,address,area,rooms,bathrooms,garages,amenities,price,condo,crawled_at
2522357582,https://www.vivareal.com.br/imovel/apartamento-3-quartos-seminario-bairros-curitiba-com-garagem-65m2-aluguel-RS2100-id-2522357582/,"Apartamento com 3 Quartos para Aluguel, 65m²","Avenida Silva Jardim, 3733 - Seminário, Curitiba - PR",65,3 Quartos,2 Banheiros,1 Vaga,Mobiliado|Aceita animais|Portão eletrônico,R$ 2.100 /mês,R$ 390,2021-06-18 10:38
2519586577,https://www.vivareal.com.br/imovel/sala-comercial-alto-da-rua-xv-bairros-curitiba-com-garagem-15m2-aluguel-RS1200-id-2519586577/,"Sala/Conjunto para Aluguel, 15m²","Rua Atílio Bório, 1177 - Alto da Rua XV, Curitiba - PR",15,-- Quarto,3 Banheiros,1 Vaga,None,R$ 1.200 /mês,,2021-06-18 10:38
2520533693,https://www.vivareal.com.br/imovel/apartamento-1-quartos-centro-bairros-curitiba-33m2-aluguel-RS2500-id-2520533693/,"Apartamento com Quarto para Aluguel, 33m²","Avenida Visconde de Guarapuava, 3806 - Centro, Curitiba - PR",33,1 Quarto,1 Banheiro,-- Vaga,Mobiliado|Piscina|Churrasqueira|Academia|Elevador,R$ 2.500 /mês,R$ 320,2021-06-18 10:38
2512561575,https://www.vivareal.com.br/imovel/sala-comercial-centro-bairros-curitiba-com-garagem-218m2-aluguel-RS10500-id-2512561575/,"Sala/Conjunto para Aluguel, 218m²","Alameda Doutor Carlos de Carvalho, 555 - Centro, Curitiba - PR",218,-- Quarto,4 Banheiros,3 Vagas,None,R$ 10.500 /mês,,2021-06-18 10:38
2504156182,https://www.vivareal.com.br/imovel/apartamento-2-quartos-bigorrilho-bairros-curitiba-com-garagem-52m2-aluguel-RS2990-id-2504156182/,"Apartamento com 2 Quartos para Aluguel, 52m²","Alameda Júlia da Costa, 911 - Bigorrilho, Curitiba - PR",52,2 Quartos,2 Banheiros,1 Vaga,Mobiliado|Churrasqueira|Elevador|Condomínio fechado|Ar-condicionado,R$ 2.990 /mês,R$ 670,2021-06-18 10:38
2510171400,https://www.vivareal.com.br/imovel/apartamento-3-quartos-cabral-bairros-curitiba-com-garagem-161m2-aluguel-RS3500-id-2510171400/,"Apartamento com 3 Quartos para Aluguel, 161m²","Rua Vereador Garcia Rodrigues Velho, 234 - Cabral, Curitiba - PR",161,3 Quartos,4 Banheiros,2 Vagas,Churrasqueira|Elevador|Condomínio fechado|Ar-condicionado|Varanda gourmet,R$ 3.500 /mês,R$ 1.050,2021-06-18 10:38
2515946846,https://www.vivareal.com.br/imovel/sala-comercial-juveve-bairros-curitiba-com-garagem-45m2-aluguel-RS1680-id-2515946846/,"Sala/Conjunto para Aluguel, 45m²","Rua Alberto Folloni, 244 - Juvevê, Curitiba - PR",45,-- Quarto,1 Banheiro,1 Vaga,None,R$ 1.680 /mês,,2021-06-18 10:38
2502734890,https://www.vivareal.com.br/imovel/apartamento-1-quartos-alto-da-rua-xv-bairros-curitiba-com-garagem-37m2-aluguel-RS1250-id-2502734890/,"Apartamento com Quarto para Aluguel, 37m²","Rua do Herval, 142 - Alto da Rua XV, Curitiba - PR",37,1 Quarto,1 Banheiro,1 Vaga,Mobiliado|Elevador|Portaria 24h,R$ 1.250 /mês,R$ 200,2021-06-18 10:38
2523625399,https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-curitiba-com-garagem-130m2-aluguel-RS1500-id-2523625399/,"Apartamento com 3 Quartos para Aluguel, 130m²","Rua Saldanha Marinho, 1453 - Centro, Curitiba - PR",130,3 Quartos,3 Banheiros,2 Vagas,Piscina|Churrasqueira|Elevador|Jardim|Aceita animais,R$ 1.500 /mês,R$ 1.100,2021-06-18 10:38
2522749678,https://www.vivareal.com.br/imovel/apartamento-1-quartos-juveve-bairros-curitiba-27m2-aluguel-RS1800-id-2522749678/,"Apartamento com Quarto para Aluguel, 27m²","Rua Manoel Eufrásio, 1231 - Juvevê, Curitiba - PR",27,1 Quarto,1 Banheiro,-- Vaga,Mobiliado|Piscina|Churrasqueira|Academia|Elevador,R$ 1.800 /mês,R$ 310,2021-06-18 10:38
